"event_name","event_name_analyzed","event_code","fk_program_seasons","event_subtype","event_subtype_moniker","event_type","event_venue","event_venue_sort","event_venue_analyzed","event_stateprov","event_country","event_city","event_address1","event_address2","date_end","date_start","event_postalcode","event_season","capacity_total","event_web_url","flag_bag_and_tag_event","program_code_display","program_name","flag_display_in_vims","ff_event_type_sort_order","countryCode","open_capacity","event_fee_currency","hotel_document","id","lat","lon","event_venue_room","event_fee_base","community_event_contact_name_first","community_event_contact_name_last","community_event_contact_email"
"PCH District Duluth Event","PCH District Duluth Event","GADUL",247,"Qualifying Event","District Event","FRC","Infinite Energy Arena","Infinite Energy Arena","Infinite Energy Arena","GA","USA","Duluth","6400 Sugarloaf Parkway",,"2018-03-31T00:00:00","2018-03-29T00:00:00","30097",2018,34,"http://gafirst.org/",true,"FRC","FIRST Robotics Competition",true,200,"US",21,"USD","http://www.usfirst.org/roboticsprograms/frc/travel-discounts",33047,34.025741,-84.141816,,,,,
"PCH District Gainesville Event","PCH District Gainesville Event","GAGAI",247,"Qualifying Event","District Event","FRC","Riverside Military Academy - Field House","Riverside Military Academy - Field House","Riverside Military Academy - Field House","GA","USA","Gainesville","2001 Riverside Drive",,"2018-03-04T00:00:00","2018-03-02T00:00:00","30501",2018,34,"http://www.gafirst.org",true,"FRC","FIRST Robotics Competition",true,200,"US",5,"USD","http://www.usfirst.org/roboticsprograms/frc/travel-discounts",28113,34.286057,-83.820309,,,,,
"PNW District Auburn Event","PNW District Auburn Event","WAAHS",247,"Qualifying Event","District Event","FRC","Auburn High School","Auburn High School","Auburn High School","WA","USA","Auburn","711 E. Main St.",,"2018-03-18T00:00:00","2018-03-16T00:00:00","98002",2018,38,"http://www.firstwa.org",true,"FRC","FIRST Robotics Competition",true,200,"US",20,"USD","http://www.usfirst.org/roboticsprograms/frc/travel-discounts",28017,47.302461,-122.186065,,,"","",
"PNW District Auburn Mountainview Event","PNW District Auburn Mountainview Event","WAAMV",247,"Qualifying Event","District Event","FRC","Auburn Mountainview High School","Auburn Mountainview High School","Auburn Mountainview High School","WA","USA","Auburn","28900 124th Avenue SE",,"2018-03-31T00:00:00","2018-03-29T00:00:00","98092",2018,36,"http://www.firstwa.org/",true,"FRC","FIRST Robotics Competition",true,200,"US",21,"USD","http://www.usfirst.org/roboticsprograms/frc/travel-discounts",28007,47.283585,-122.128606,,,"","",
"PNW District Clackamas Academy Event","PNW District Clackamas Academy Event","ORORE",247,"Qualifying Event","District Event","FRC","Clackamas Academy","Clackamas Academy","Clackamas Academy","OR","USA","Oregon City","1306 12th Street",,"2018-03-03T00:00:00","2018-03-01T00:00:00","97045",2018,36,"http://www.firstwa.org/",true,"FRC","FIRST Robotics Competition",true,200,"US",27,"USD","http://www.usfirst.org/roboticsprograms/frc/travel-discounts",28011,45.340277,-122.560941,,,"","",
"PNW District Glacier Peak Event","PNW District Glacier Peak Event","WASNO",247,"Qualifying Event","District Event","FRC","Glacier Peak High School","Glacier Peak High School","Glacier Peak High School","WA","USA","Snohomish","7401 144th Place SE",,"2018-03-25T00:00:00","2018-03-23T00:00:00","98296",2018,38,"http://www.firstwa.org/",true,"FRC","FIRST Robotics Competition",true,200,"US",11,"USD","http://www.usfirst.org/roboticsprograms/frc/travel-discounts",28009,47.822897,-122.118251,,,"","",
"PNW District Lake Oswego Event","PNW District Lake Oswego Event","ORLAK",247,"Qualifying Event","District Event","FRC","Lake Oswego High School","Lake Oswego High School","Lake Oswego High School","OR","USA","Lake Oswego","2501 Country Club Rd",,"2018-03-31T00:00:00","2018-03-29T00:00:00","97034",2018,36,"http://www.firstwa.org",true,"FRC","FIRST Robotics Competition",true,200,"US",15,"USD","http://www.usfirst.org/roboticsprograms/frc/travel-discounts",28021,45.410367,-122.689055,,,"","",
"PNW District Mount Vernon Event","PNW District Mount Vernon Event","WAMOU",247,"Qualifying Event","District Event","FRC","Mount Vernon High School","Mount Vernon High School","Mount Vernon High School","WA","USA","Mount Vernon","314 North 9th Street",,"2018-03-04T00:00:00","2018-03-02T00:00:00","98273",2018,38,"http://www.firstwa.org/",true,"FRC","FIRST Robotics Competition",true,200,"US",27,"USD","http://www.usfirst.org/roboticsprograms/frc/travel-discounts",28013,48.407114,-122.324434,,,"","",
"PNW District SunDome Event","PNW District SunDome Event","WAYAK",247,"Qualifying Event","District Event","FRC","SunDome, State Fair Park","SunDome, State Fair Park","SunDome, State Fair Park","WA","USA","Yakima","1301 S. Fair Avenue",,"2018-03-17T00:00:00","2018-03-15T00:00:00","98901",2018,36,"http://www.firstwa.org/",true,"FRC","FIRST Robotics Competition",true,200,"US",29,"USD","http://www.usfirst.org/roboticsprograms/frc/travel-discounts",32237,46.606829,-120.465379,,,,,
"PNW District West Valley Event","PNW District West Valley Event","WASPO",247,"Qualifying Event","District Event","FRC","West Valley High School","West Valley High School","West Valley High School","WA","USA","Spokane","8301 E. Buckeye Avenue",,"2018-03-24T00:00:00","2018-03-22T00:00:00","99212",2018,36,"http://www.firstwa.org",true,"FRC","FIRST Robotics Competition",true,200,"US",21,"USD","http://www.usfirst.org/roboticsprograms/frc/travel-discounts",27953,47.660806,-117.314906,"",,"","",
"PNW District Wilsonville Event","PNW District Wilsonville Event","ORWIL",247,"Qualifying Event","District Event","FRC","Wilsonville High School","Wilsonville High School","Wilsonville High School","OR","USA","Wilsonville","6800 SW Wilsonville Road",,"2018-03-10T00:00:00","2018-03-08T00:00:00","97070",2018,36,"http://oregonfirst.org/",true,"FRC","FIRST Robotics Competition",true,200,"US",11,"USD","http://www.usfirst.org/roboticsprograms/frc/travel-discounts",28027,45.301823,-122.762197,,,"","",
"Pacific Northwest District Championship","Pacific Northwest District Championship","PNCMP",247,"Qualifying Championship","District Championship","FRC","Veterans Memorial Stadium","Veterans Memorial Stadium","Veterans Memorial Stadium","OR","USA","Portland","300 N Winning Way",,"2018-04-07T00:00:00","2018-04-04T00:00:00","97227",2018,64,"http://www.firstwa.org",true,"FRC","FIRST Robotics Competition",true,100,"US",64,"USD","http://www.usfirst.org/roboticsprograms/frc/travel-discounts",28029,45.54538,-122.67553,,,"","",
"Palmetto Regional","Palmetto Regional","SCMB",247,"Regional","Regional","FRC","Myrtle Beach Convention Center","Myrtle Beach Convention Center","Myrtle Beach Convention Center","SC","USA","Myrtle Beach","2101 Oak Street",,"2018-03-03T00:00:00","2018-02-28T00:00:00","29578",2018,64,"http://www.myrtlebeachfirstrobotics.com",true,"FRC","FIRST Robotics Competition",true,3,"US",38,"USD","http://www.usfirst.org/roboticsprograms/frc/travel-discounts",27915,33.726237,-78.844532,"",,"","",
"Peachtree District State Championship","Peachtree District State Championship","GACMP",247,"Qualifying Championship","District Championship","FRC","University of Georgia - Stegeman Coliseum","University of Georgia - Stegeman Coliseum","University of Georgia - Stegeman Coliseum","GA","USA","Athens","100 Smith Street",,"2018-04-07T00:00:00","2018-04-04T00:00:00","30605",2018,45,"http://www.gafirst.org",true,"FRC","FIRST Robotics Competition",true,100,"US",45,"USD","http://www.usfirst.org/roboticsprograms/frc/travel-discounts",28075,33.926072,-83.340748,,,,,
"FIM District Southfield Event","FIM District Southfield Event","MISOU",247,"Qualifying Event","District Event","FRC","Southfield High School","Southfield High School","Southfield High School","MI","USA","Southfield","24675 Lahser Road",,"2018-03-03T00:00:00","2018-03-01T00:00:00","48033",2018,40,"http://www.firstinmichigan.org",true,"FRC","FIRST Robotics Competition",true,200,"US",22,"USD","http://www.usfirst.org/roboticsprograms/frc/travel-discounts",27881,42.472345,-83.293971,"",,"","",
"FIM District St. Joseph Event","FIM District St. Joseph Event","MISJO",247,"Qualifying Event","District Event","FRC","St. Joseph High School","St. Joseph High School","St. Joseph High School","MI","USA","St. Joseph","2521 Stadium Drive",,"2018-03-10T00:00:00","2018-03-08T00:00:00","49085",2018,40,"http://www.firstinmichigan.org",true,"FRC","FIRST Robotics Competition",true,200,"US",26,"USD","http://www.usfirst.org/roboticsprograms/frc/travel-discounts",27961,42.068065,-86.475496,"",,"","",
"FIM District Traverse City Event","FIM District Traverse City Event","MITVC",247,"Qualifying Event","District Event","FRC","Traverse City Central High School","Traverse City Central High School","Traverse City Central High School","MI","USA","Traverse City","1150 Miliken Drive",,"2018-03-03T00:00:00","2018-03-01T00:00:00","49686",2018,40,"http://www.firstinmichigan.org",true,"FRC","FIRST Robotics Competition",true,200,"US",14,"USD","http://www.usfirst.org/roboticsprograms/frc/travel-discounts",27939,44.754969,-85.596072,"",,"","",
"FIM District Troy Event","FIM District Troy Event","MITRY",247,"Qualifying Event","District Event","FRC","Troy Athens High School","Troy Athens High School","Troy Athens High School","MI","USA","Troy","4333 John R Road",,"2018-03-31T00:00:00","2018-03-29T00:00:00","48085",2018,40,"http://www.firstinmichigan.org",true,"FRC","FIRST Robotics Competition",true,200,"US",25,"USD","http://www.usfirst.org/roboticsprograms/frc/travel-discounts",27945,42.595219,-83.120115,"",,"","",
"FIM District Waterford Event","FIM District Waterford Event","MIWAT",247,"Qualifying Event","District Event","FRC","Waterford Mott High School","Waterford Mott High School","Waterford Mott High School","MI","USA","Waterford","1151 Scott Lake Road",,"2018-03-10T00:00:00","2018-03-08T00:00:00","48328",2018,40,"http://www.firstinmichigan.org",true,"FRC","FIRST Robotics Competition",true,200,"US",28,"USD","http://www.usfirst.org/roboticsprograms/frc/travel-discounts",28035,42.644305,-83.356394,,,"","",
"FIM District West Michigan Event","FIM District West Michigan Event","MIWMI",247,"Qualifying Event","District Event","FRC","Grand Valley State University","Grand Valley State University","Grand Valley State University","MI","USA","Allendale","Field House","10915 S Campus Drive","2018-03-24T00:00:00","2018-03-22T00:00:00","49401",2018,40,"http://www.firstinmichigan.org",true,"FRC","FIRST Robotics Competition",true,200,"US",16,"USD","http://www.usfirst.org/roboticsprograms/frc/travel-discounts",27921,42.974447,-85.930121,"",,"","",
"FIRST Championship - Detroit","FIRST Championship - Detroit","CMPMI",247,"Championship","FIRST Championship","FRC","Cobo Center","Cobo Center","Cobo Center","MI","USA","Detroit","1 Washington Boulevard",,"2018-04-28T00:00:00","2018-04-25T00:00:00","48226",2018,400,,false,"FRC","FIRST Robotics Competition",false,2,"US",400,"USD","http://www.usfirst.org/roboticsprograms/frc/travel-discounts",32149,42.332339,-83.051131,,,,,
"FIRST Championship - Houston","FIRST Championship - Houston","CMPTX",247,"Championship","FIRST Championship","FRC","George R. Brown Convention Center","George R. Brown Convention Center","George R. Brown Convention Center","TX","USA","Houston","1001 Avenida De Las Americas",,"2018-04-21T00:00:00","2018-04-18T00:00:00","77010",2018,400,,false,"FRC","FIRST Robotics Competition",false,2,"US",400,"USD","http://www.usfirst.org/roboticsprograms/frc/travel-discounts",28089,29.754759,-95.361326,,0,"","",
"FIRST Chesapeake District Championship","FIRST Chesapeake District Championship","CHCMP",247,"Qualifying Championship","District Championship","FRC","TBD - Venue information coming soon","TBD - Venue information coming soon","TBD - Venue information coming soon","VA","USA","TBD","TBD - coming soon",,"2018-03-31T00:00:00","2018-03-28T00:00:00","00000",2018,58,"http://www.firstchesapeake.org",true,"FRC","FIRST Robotics Competition",true,100,"US",58,"USD","http://www.usfirst.org/roboticsprograms/frc/travel-discounts",28063,0,0,,,"","",
"FIRST Israel District Championship","FIRST Israel District Championship","ISCMP",247,"Qualifying Championship","District Championship","FRC","Menora Mivtachim Arena","Menora Mivtachim Arena","Menora Mivtachim Arena","TA","Israel","Tel Aviv-Yafo","Yigal Alon Street 51",,"2018-03-28T00:00:00","2018-03-26T00:00:00","00000",2018,45,"http://firstisrael.org.il",true,"FRC","FIRST Robotics Competition",true,100,"IL",45,"USD","http://www.usfirst.org/roboticsprograms/frc/travel-discounts",27909,0,0,"",,"","",""
"FIRST Mid-Atlantic District Championship","FIRST Mid-Atlantic District Championship","MRCMP",247,"Qualifying Championship","District Championship","FRC","Lehigh University - Stabler Arena","Lehigh University - Stabler Arena","Lehigh University - Stabler Arena","PA","USA","Bethlehem","124 Goodman Drive",,"2018-04-07T00:00:00","2018-04-04T00:00:00","18015",2018,60,"http://www.midatlanticrobotics.com/",true,"FRC","FIRST Robotics Competition",true,100,"US",60,"USD","http://www.usfirst.org/roboticsprograms/frc/travel-discounts",27917,40.601395,-75.369112,"",,"","",
"FIRST North Carolina State Championship","FIRST North Carolina State Championship","NCCMP",247,"Qualifying Championship","District Championship","FRC","Campbell University - Gore Arena","Campbell University - Gore Arena","Campbell University - Gore Arena","NC","USA","Lillington","56 Main Street",,"2018-04-08T00:00:00","2018-04-06T00:00:00","27546",2018,32,"http://www.firstnorthcarolina.org/",true,"FRC","FIRST Robotics Competition",true,100,"US",32,"USD","http://www.usfirst.org/roboticsprograms/frc/travel-discounts",28069,35.397219,-78.813484,,,"","",
"FIRST Ontario Provincial Championship","FIRST Ontario Provincial Championship","ONCMP",247,"Qualifying Championship","District Championship","FRC","Hershey Centre","Hershey Centre","Hershey Centre","ON","Canada","Mississauga","5500 Rose Cherry Place",,"2018-04-14T00:00:00","2018-04-11T00:00:00","L4Z 4B6",2018,80,"http://www.firstroboticscanada.org",true,"FRC","FIRST Robotics Competition",true,100,"CA",80,"USD","http://www.usfirst.org/roboticsprograms/frc/travel-discounts",28099,43.62838,-79.65296,,,,,
"Festival de Robotique - Montreal Regional","Festival de Robotique - Montreal Regional","QCMO",247,"Regional","Regional","FRC","Centre Claude-Robillard","Centre Claude-Robillard","Centre Claude-Robillard","QC","Canada","Montreal","1000 Avenue Emile-Journault",,"2018-03-03T00:00:00","2018-02-28T00:00:00","H2M 2E7",2018,56,"http://www.robotiquefirstquebec.org/",true,"FRC","FIRST Robotics Competition",true,3,"CA",7,"USD","http://www.usfirst.org/roboticsprograms/frc/travel-discounts",27971,45.55087,-73.64025,"",,"","",""
"Finger Lakes Regional ","Finger Lakes Regional ","NYRO",247,"Regional","Regional","FRC","Gordon Field House","Gordon Field House","Gordon Field House","NY","USA","Rochester","Rochester Institute of Technology","149 Lomb Memorial Drive","2018-03-17T00:00:00","2018-03-14T00:00:00","14623",2018,50,"http://upstatenyfirst.org/",true,"FRC","FIRST Robotics Competition",true,3,"US",20,"USD","http://www.usfirst.org/roboticsprograms/frc/travel-discounts",27865,43.081673,-77.633588,"",,"","Glen","gpearson@firstinspires.org"
"Great Northern Regional","Great Northern Regional","NDGF",247,"Regional","Regional","FRC","Alerus Center","Alerus Center","Alerus Center","ND","USA","Grand Forks","1200 S 42nd Street",,"2018-03-03T00:00:00","2018-02-28T00:00:00","58201",2018,40,"http://www.mnfirst.org",true,"FRC","FIRST Robotics Competition",true,3,"US",22,"USD","http://www.usfirst.org/roboticsprograms/frc/travel-discounts",33171,47.912435,-97.052752,,,,,
"Greater Kansas City Regional","Greater Kansas City Regional","MOKC",247,"Regional","Regional","FRC","Metropolitan Community College - Business and Technology Campus","Metropolitan Community College - Business and Technology Campus","Metropolitan Community College - Business and Technology Campus","MO","USA","Kansas City","1775 Universal Avenue",,"2018-03-17T00:00:00","2018-03-14T00:00:00","64120",2018,48,"http://www.kcfirst.org",true,"FRC","FIRST Robotics Competition",true,3,"US",24,"USD","http://www.usfirst.org/roboticsprograms/frc/travel-discounts",27883,39.12391,-94.5372,"",,"","",""
"Greater Pittsburgh Regional","Greater Pittsburgh Regional","PACA",247,"Regional","Regional","FRC","Convocation Center at","Convocation Center at","Convocation Center at","PA","USA","California","California University of Pennsylvania ","Riverview Drive","2018-03-24T00:00:00","2018-03-21T00:00:00","15419",2018,54,"http://www.pittsburghfirst.org",true,"FRC","FIRST Robotics Competition",true,3,"US",29,"USD","http://www.usfirst.org/roboticsprograms/frc/travel-discounts",27873,40.063892,-79.894161,"",,"","",""
"Hawaii Regional","Hawaii Regional","HIHO",247,"Regional","Regional","FRC","University of Hawaii at Manoa","University of Hawaii at Manoa","University of Hawaii at Manoa","HI","USA","Honolulu","Stan Sheriff Center",,"2018-03-24T00:00:00","2018-03-21T00:00:00","96822",2018,40,"http://www.friendsofhawaiirobotics.org",true,"FRC","FIRST Robotics Competition",true,3,"US",22,"USD","http://www.usfirst.org/roboticsprograms/frc/travel-discounts",27923,21.312545,-157.821044,"",,"","",
"Heartland Regional","Heartland Regional","MOKC2",247,"Regional","Regional","FRC","Metropolitan Community College - Business and Technology Campus","Metropolitan Community College - Business and Technology Campus","Metropolitan Community College - Business and Technology Campus","MO","USA","Kansas City","1775 Universal Avenue",,"2018-03-11T00:00:00","2018-03-08T00:00:00","64120",2018,48,"http://www.kcfirst.org",true,"FRC","FIRST Robotics Competition",true,3,"US",19,"USD","http://www.usfirst.org/roboticsprograms/frc/travel-discounts",33111,39.12391,-94.5372,,,,,
"NE District Pine Tree Event","NE District Pine Tree Event","MELEW",247,"Qualifying Event","District Event","FRC","Androscoggin Bank Colisee","Androscoggin Bank Colisee","Androscoggin Bank Colisee","ME","USA","Lewiston","190 Birch Street",,"2018-03-24T00:00:00","2018-03-22T00:00:00","04240",2018,40,"http://www.nefirst.org/",true,"FRC","FIRST Robotics Competition",true,200,"US",28,"USD","http://www.usfirst.org/roboticsprograms/frc/travel-discounts",27925,44.097005,-70.186774,"",,"","",
"NE District Rhode Island Event","NE District Rhode Island Event","RISMI",247,"Qualifying Event","District Event","FRC","Bryant University","Bryant University","Bryant University","RI","USA","Smithfield","1150 Douglas Pike",,"2018-03-25T00:00:00","2018-03-23T00:00:00","02917",2018,40,"http://www.nefirst.org/",true,"FRC","FIRST Robotics Competition",true,200,"US",30,"USD","http://www.usfirst.org/roboticsprograms/frc/travel-discounts",27893,41.85516,-71.49222,"",,"","",
"NE District SE Mass Event","NE District SE Mass Event","MABRI",247,"Qualifying Event","District Event","FRC","Bridgewater-Raynham High School","Bridgewater-Raynham High School","Bridgewater-Raynham High School","MA","USA","Bridgewater","415 Center Street",,"2018-03-11T00:00:00","2018-03-09T00:00:00","02324",2018,40,"http://www.nefirst.org/",true,"FRC","FIRST Robotics Competition",true,200,"US",23,"USD","http://www.usfirst.org/roboticsprograms/frc/travel-discounts",28109,41.981411,-70.974124,,,,,
"NE District Southern CT Event","NE District Southern CT Event","CTSCT",247,"Qualifying Event","District Event","FRC","Fairfield University","Fairfield University","Fairfield University","CT","USA","Fairfield","1073 N Benson Road",,"2018-03-18T00:00:00","2018-03-16T00:00:00","06824",2018,40,"http://www.nefirst.org/",true,"FRC","FIRST Robotics Competition",true,200,"US",31,"USD","http://www.usfirst.org/roboticsprograms/frc/travel-discounts",33049,41.168961,-73.26513,,,,,
"NE District UNH Event","NE District UNH Event","NHDUR",247,"Qualifying Event","District Event","FRC","UNH Whittemore Center","UNH Whittemore Center","UNH Whittemore Center","NH","USA","Durham","128 Main Street",,"2018-03-31T00:00:00","2018-03-29T00:00:00","03824",2018,40,"http://www.nefirst.org/",true,"FRC","FIRST Robotics Competition",true,200,"US",23,"USD","http://www.usfirst.org/roboticsprograms/frc/travel-discounts",28111,43.1304,-70.9767,,,,,
"NE District Waterbury Event","NE District Waterbury Event","CTWAT",247,"Qualifying Event","District Event","FRC","Wilby High School","Wilby High School","Wilby High School","CT","USA","Waterbury","460 Buck Hill Road",,"2018-03-11T00:00:00","2018-03-09T00:00:00","06704",2018,40,"http://www.nefirst.org/",true,"FRC","FIRST Robotics Competition",true,200,"US",26,"USD","http://www.usfirst.org/roboticsprograms/frc/travel-discounts",28003,41.578898,-73.032746,,,"","",
"NE District Worcester Polytechnic Institute Event","NE District Worcester Polytechnic Institute Event","MAWOR",247,"Qualifying Event","District Event","FRC","WPI Harrington Auditorium ","WPI Harrington Auditorium ","WPI Harrington Auditorium ","MA","USA","Worcester","100 Institute Road",,"2018-03-03T00:00:00","2018-03-01T00:00:00","01609",2018,40,"http://www.nefirst.org/",true,"FRC","FIRST Robotics Competition",true,200,"US",5,"USD","http://www.usfirst.org/roboticsprograms/frc/travel-discounts",27949,42.276415,-71.819491,"",,"","",
"New England District Championship","New England District Championship","NECMP",247,"Qualifying Championship","District Championship","FRC","Boston University - Agganis Arena","Boston University - Agganis Arena","Boston University - Agganis Arena","MA","USA","Boston","925 Commonwealth Avenue",,"2018-04-14T00:00:00","2018-04-11T00:00:00","02215",2018,64,"http://www.nefirst.org/",true,"FRC","FIRST Robotics Competition",true,100,"US",64,"USD","http://www.usfirst.org/roboticsprograms/frc/travel-discounts",27969,42.344927,-71.101619,"",,"","",
"New York City Regional","New York City Regional","NYNY",247,"Regional","Regional","FRC","The Armory Track & Field Center","The Armory Track & Field Center","The Armory Track & Field Center","NY","USA","New York","216 Fort Washington Avenue",,"2018-04-08T00:00:00","2018-04-05T00:00:00","10032",2018,48,"http://www.nycfirst.org",true,"FRC","FIRST Robotics Competition",true,3,"US",8,"USD","http://www.usfirst.org/roboticsprograms/frc/travel-discounts",27887,40.83668,-73.939944,"",,"","",""
