"team_number_yearly","team_name_calc","team_nickname","team_city","team_stateprov","team_postalcode","profile_year","fk_program_seasons","team_rookieyear","team_web_url","team_country","countryCode","team_type","program_code_display","program_name","lat","lon"
1,"The Chrysler Foundation/BAE Systems/Hirotec & Oakland Schools Technical Campus Northeast","The Juggernauts","Pontiac","MI","48340",2018,247,1997,"http://www.juggernauts.org/","USA","US","FRC","FRC","FIRST Robotics Competition",42.672494,-83.288704
4,"Lockheed Martin/Cooler Master/Sawing Services/Gibbs CAM/SolidWorks/Boston Scientific/WAAG/Full Scale Effects/Raytheon&High Tech La","Team 4 ELEMENT","Van Nuys","CA","91406",2018,247,1997,"http://www.team4element.com","USA","US","FRC","FRC","FIRST Robotics Competition",34.201751,-118.492685
8,"Google/Apple/Brin Wojcicki Foundation/NVIDIA/Intuitive Surgical /Webcor Builders/Landec/Hassett hardware/Kirk's Steakburgers/Dropbox&Palo Alto High","Paly Robotics","Palo Alto","CA","94301",2018,247,1996,"http://www.palyrobotics.com/","USA","US","FRC","FRC","FIRST Robotics Competition",37.439933,-122.151692
11,"Siemens/John & Margaret Post Foundation/National Defense Education Program/Givaudan/BAE Systems/ASCO/Chameleon Designs/Mt. Olive School District/Prevision Systems & Mt  Olive High","MORT","Flanders","NJ","07836",2018,247,1997,"http://www.mort11.org","USA","US","FRC","FRC","FIRST Robotics Competition",40.853244,-74.708204
16,"Baxter Healthcare Corporation&Mtn Home High Career Academics","Bomb Squad","Mountain Home","AR","72653",2018,247,1996,"frcteam16.org","USA","US","FRC","FRC","FIRST Robotics Competition",36.35262,-92.3667
20,"Global Foundries - Town of Malta Foundation/Bechtel Corporation/GE/BAE SYSTEMS/Advanced Manufacturing Techniques Inc./NYSTAR and the Center for Automation Technologies and Systems at Rensselaer Polytechnic Institute&Shenendehowa High School","The Rocketeers","Clifton Park","NY","12065",2018,247,1992,"http://www.team20.com","USA","US","FRC","FRC","FIRST Robotics Competition",42.85146,-73.79898
21,"The Boeing Company/SGT/Planet Fitness of Daytona/School Board of Brevard County/East Coast Machine/NASA GSDO/Indian River Technology llc/Florida Power & Light/State of Florida&Astronaut High School&Titusville High School","ComBBAT","Titusville","FL","32796",2018,247,1998,"http://www.combbat21.com/","USA","US","FRC","FRC","FIRST Robotics Competition",28.621623,-80.840117
23,"Plymouth Industrial development Corporation/Entergy Corporation/Raytheon & Plymouth North High","PNTA Pilgrim Nuclear Technology Alliance","Plymouth","MA","02360",2018,247,1995,,"USA","US","FRC","FRC","FIRST Robotics Competition",41.87292,-70.64142
25,"Bristol-Myers Squibb Co./Picatinny Arsenal. US Dept of Defense/Abbe Lumber/CIMA/North Brunswick Public Schools/Raider Robotix Parent and Mentor Organization&North Brunswick Twp High","Raider Robotix","North Brunswick","NJ","08902",2018,247,1997,"http://www.raiderrobotix.org","USA","US","FRC","FRC","FIRST Robotics Competition",40.44666,-74.48898
27,"BorgWarner/Mclaren Health Care/FCA Foundation/State Of Michigan /Smith's Disposal/Genisys Credit Union/Clarkston Dermatology/DENSO/TRW/BAE/Applied Manufacturing Technologies/3-Dimensional Services/ARC Investments/Recticel North America Inc./Clarkston Rotary/Chase Plastics /De-sta-co/DAWNCo/Financial Benifits Group/DMT Homes /Faurecia/Superior Buick GMC & Clarkston High School","Team RUSH","Clarkston","MI","48346",2018,247,1997,"http://www.teamrush27.net","USA","US","FRC","FRC","FIRST Robotics Competition",42.722381,-83.418152
28,"Ancora Yacht Service/Ship Ashore Marina&Pierson Middle/High School","Pierson Whalers","Sag Harbor","NY","11963",2018,247,1996,"piersonrobotics.org","USA","US","FRC","FRC","FIRST Robotics Competition",40.97244,-72.32454
31,"Williams/OSDE/AEP/Boeing/National Defense Education Program/Best Buy/Tulsa Stem Alliance&Jenks Hs","Prime Movers","Jenks","OK","74037",2018,247,1997,"http://thethirtyfirst.weebly.com/","USA","US","FRC","FRC","FIRST Robotics Competition",36.013289,-95.979724
33,"Fiat Chrysler Automobiles/The FCA Foundation/Innovation First International/TI Automotive/JDM Consulting/Elite Fence Products/Hubbard Spring/Lochbridge/BAE Systems/Aicas&Notre Dame Preparatory","Killer Bees","Auburn Hills","MI","48326",2018,247,1996,"http://www.killerbees33.com/","USA","US","FRC","FRC","FIRST Robotics Competition",42.66462,-83.27388
34,"Limestone County Board of Education/Boeing/Society of Women Engineers&Limestone Co Area Voc Tech&Limestone County Gifted Program","Rockets","Athens","AL","35611",2018,247,1997,"www.team34rockets.com","USA","US","FRC","FRC","FIRST Robotics Competition",34.798525,-86.966415
41,"Watchung Hills Reg H","RoboWarriors","Warren","NJ","07059",2018,247,1997,"http://www.team41robotics.com","USA","US","FRC","FRC","FIRST Robotics Competition",40.631567,-74.508064
45,"Delphi/AndyMark, Inc./Duke Energy/Foresite/Kokomo Education Foundation/Royal United Mortgage/1Up! Software/HMH Contractors, Inc./Howard County EMA/Indiana Wesleyan University/Kati L. Taylor/Kokomo Area Career Center Collision Repair & Construction Class/Kokomo Area Lions Club/Midwestern Engineers, Inc./Northwest Radiology Network/ProPrints&Kokomo High School","TechnoKats Robotics Team","Kokomo","IN","46902",2018,247,1992,"http://www.technokats.org/","USA","US","FRC","FRC","FIRST Robotics Competition",40.455097,-86.134088
48,"Delphi Corporation/Nordson XALOY&Warren G Harding High School","Delphi E.L.I.T.E.","Warren","OH","44483",2018,247,1998,"http://www.delphielite.com/","USA","US","FRC","FRC","FIRST Robotics Competition",41.27814,-80.8173
51,"GM Propulsion Systems/Delphi/FCA Foundation/Ford Foundation/BAE Systems/Chief Financial Credit Union/Genisys Credit Union&Pontiac High School","The Wings of Fire","Pontiac","MI","48342",2018,247,1996,"http://www.wingsoffire51.com/","USA","US","FRC","FRC","FIRST Robotics Competition",42.646052,-83.273628
53,"Army Research Laboratory/Maryland Space Business Roundtable & Eleanor Roosevelt High","Area 53","Greenbelt","MD","20770",2018,247,1998,"http://erhsroboticsclub.org","USA","US","FRC","FRC","FIRST Robotics Competition",38.996883,-76.884085
56,"Ethicon/Picatinny Arsenal&Bound Brook High","R.O.B.B.E.","Bound Brook","NJ","08805",2018,247,1997,"www.team56.com","USA","US","FRC","FRC","FIRST Robotics Competition",40.569275,-74.539176
57,"Hydraquip Custom Systems Inc./Andy's Hardware/Arc Specialties/CenterPoint Energy Give/Chevron/Country Pure Foods/Employee Owned Holdings Inc./ExxonMobil/Hydraquip Distribution Inc./GE Sensing/Walter P. Moore & Washington B T H S","Leopards","Houston","TX","77018",2018,247,1998,"http://www.leopards57.com/","USA","US","FRC","FRC","FIRST Robotics Competition",29.827979,-95.426715
58,"Robotics Institute of Maine/South Portland School Department&South Portland High School","The Riot Crew","South Portland","ME","04106",2018,247,1996,"http://www.riotcrew.org","USA","US","FRC","FRC","FIRST Robotics Competition",43.620751,-70.291117
59,"Florida Power & Light/RYOBI Tools/Sal Aerospace Engineering (SAE)/Beckman Coulter/Boca Bearings/Ramtech Robotic Summer Camp&Miami Coral Park Senior High","RamTech","Miami","FL","33165",2018,247,1997,"www.ramtech59.com","USA","US","FRC","FRC","FIRST Robotics Competition",25.729513,-80.360218
60,"UNS/FCA/Timeless Cruisers/Cascades Tissue Group/KUSD #20 Kingman High School/Kingman Academy of Learning High School/Purvis Industries/Brackett Aircraft/Potters, Inc/Praxair/Sutton Funeral Home/Mohave County Block Grant/I Corp/West Coast Netting/Kingman Regional Medical Center/True Value/Coast Aluminum/Freiday Construction/Data Max and Wecom/Harley Davidson Foundation/Boeing&Kingman High School&Kingman Academy of Learning - High School&Lee Williams High School","Bionic Bulldogs","Kingman","AZ","86401",2018,247,1997,"www.frcteam60.com","USA","US","FRC","FRC","FIRST Robotics Competition",35.52402,-113.99268
61,"Blackstone Valley Vocational Regional School District/EMC/Foster-Miller/Harry's Pizza Whitinsville/PTC & Blackstone Valley","The Intimidators","Upton","MA","01568",2018,247,1995,"http://www.valleytech.k12.ma.us/Robotics/Team61_index.html","USA","US","FRC","FRC","FIRST Robotics Competition",42.171445,-71.604409
63,"Millcreek Township School District/GE Volunteers & Mcdowell Hs","McDowell Robotics Team 63","Erie","PA","16506",2018,247,1997,"http://www.mcdowellrobotics.com","USA","US","FRC","FRC","FIRST Robotics Competition",42.072704,-80.153452
66,"General Motors Corp/Michigan Department of Education/ZF&Ypsilanti STEMM Middle College","Grizzly Robotics","Ypsilanti","MI","48197",2018,247,1998,"ycsrobotics.org","USA","US","FRC","FRC","FIRST Robotics Competition",42.233132,-83.623767
67,"General Motors Milford Proving Ground & Huron Valley Schools","The HOT Team","Highland","MI","48357",2018,247,1997,"www.hotteam67.org","USA","US","FRC","FRC","FIRST Robotics Competition",42.656319,-83.63633
68,"General Motors/Michigan Department of Education/Fiat Chrysler Automobiles Foundation/Esys Automation/Continental Automotive Systems/ARL Service/Cross the Road Electronics/Michigan Renaissance Festival/CEC Controls & Brandon High School & Holly High School","Truck Town Thunder","Ortonville","MI","48462",2018,247,1998,"http://trucktownthunder.com/","USA","US","FRC","FRC","FIRST Robotics Competition",42.838413,-83.428185
69,"General Dynamics Bluefin Robotics&Quincy Public Schools","HYPER","Quincy","MA","02169",2018,247,1998,"http://www.hyperonline.org/","USA","US","FRC","FRC","FIRST Robotics Competition",42.240464,-71.014144
70,"General Motors/State of Michigan/Fiat Chrysler Automotive Foundation/Kettering University/Patti Engineering/Leoni/Midstates Bolt & Screw Co./Mid Michigan Robotics Alliance/Polyflex Products/Graff Chevrolet/Todd Wenzel Buick&Goodrich High School","More Martians","Goodrich","MI","48438",2018,247,1998,"http://www.70moremartians.com/","USA","US","FRC","FRC","FIRST Robotics Competition",42.910423,-83.507861
71,"School City of Hammond/Caterpillar/City of Hammond/Bemcor International & Area Career Center","Team Hammond","Hammond","IN","46320",2018,247,1996,"www.teamhammond71.com","USA","US","FRC","FRC","FIRST Robotics Competition",41.613152,-87.504662
73,"ME Engineering/RIT FIRST Club/Ron Zarrella & Rochester Science, Technology, Engineering and Mat","The Illumination","Rochester","NY","14609",2018,247,1995,"http://www.edison73.com","USA","US","FRC","FRC","FIRST Robotics Competition",43.174537,-77.559782
74,"Haworth Inc./Profile Films/SpinDance/Russells Technical Products/EBW Electronics/A.D. Bos Vending Services/Magna/Trans-Matic/River City Metals/S2 Yachts/Hann Persinger P.C.&Holland High School&Black River Public School","Team C.H.A.O.S.","Holland","MI","49423",2018,247,1995,"http://www.hollandchaos.com","USA","US","FRC","FRC","FIRST Robotics Competition",42.779463,-86.110617
75,"J&J Consumer & Personal Products Worldwide/Summit Associates/Richmond Foundation/Draftek Design/Kuchavik Consulting & Design/Picatinny Arsenal/Rutgers Dept of Physics and Technology/Active Disposal&Hillsborough High","RoboRaiders","Hillsborough","NJ","08844",2018,247,1996,"http://www.roboraiders.com/","USA","US","FRC","FRC","FIRST Robotics Competition",40.479008,-74.628315
78,"Naval Undersea Warfare Center/DoD STEM/KVH Industries/Raytheon/Rite-Solutions/CVS Health Foundation&Aquidneck Island Robotics 4-H Club","AIR STRIKE","Newport","RI","02841",2018,247,1996,"http://www.air4h.org","USA","US","FRC","FRC","FIRST Robotics Competition",41.52842,-71.310732
79,"Honeywell Aerospace&East Lake High School","Team Krunch","Tarpon Springs ","FL","34688",2018,247,1998,"http://www.teamkrunch.com/","USA","US","FRC","FRC","FIRST Robotics Competition",28.143822,-82.68011
81,"Honeywell/Freeport School District 145/Ultrasonic Power Corporation/Trez Turning/Morse Electric/Kiwanis Clubs of Freeport/RestorX/Papa Murphy's/Atkins Energy/Culver's of Freeport & Freeport High School & Lena-Winslow High School","MetalHeads","Freeport","IL","61032",2018,247,1994,"www.team81robotics.com","USA","US","FRC","FRC","FIRST Robotics Competition",42.302242,-89.635039
85,"Herman Miller Foundation/System Components, Inc/Trans-matic/NUVAR Incorporated/ITW  Drawform/Request Foods/Lakeshore Cutting/Mead Johnson Nutritionals/ODL/Gentex/Midway Machine Techlologies/Town & Country Group/Plascore/Consumers Energy/Global Concepts/Disher/JR Automation&Zeeland West High School&Zeeland East High School","B.O.B. (Built on Brains)","Zeeland","MI","49464",2018,247,1996,"www.bob85.com","USA","US","FRC","FRC","FIRST Robotics Competition",42.86688,-85.9686
86,"JEA/VISTAKON Johnson and Johnson Vision Care Products/Black and Veatch Engineering/Johnson Controls, Inc. & Stanton College Preparatory","Team Resistance","Jacksonville","FL","32217",2018,247,1998,"http://www.teamresistance.org","USA","US","FRC","FRC","FIRST Robotics Competition",30.237412,-81.617619
87,"Lockheed Martin/COMCAST-NBC Universal/DoDSTEM/CPS Metals/Rita's Italian Ice/AndyMark/Chick-Fil-A&Rancocas Valley Reg H","Diablo","Mount Holly","NJ","08060",2018,247,1997,"http://www.rvr87.com/","USA","US","FRC","FRC","FIRST Robotics Competition",39.991815,-74.807251
88,"General Dynamics/Harpak-ULMA/Highland Power Corp&Bridgewater-Raynham Reg","TJ(Squared)","Bridgewater","MA","02324",2018,247,1996,"http://www.tj2.org","USA","US","FRC","FRC","FIRST Robotics Competition",41.981411,-70.974124
93,"Plexus Corp./Appleton Area School District & Tesla Engineering Charter School & East High & North High & West High","NEW Apple Corps","Appleton","WI","54915",2018,247,1997,"http://www.nacteam93.com","USA","US","FRC","FRC","FIRST Robotics Competition",44.282485,-88.41276
94,"Lear Corporation/Denso/FORD MOTOR COMPANY&Southfield High School","The  Ninetyfouriors","Southfield","MI","48033",2018,247,1998,"http://www.Team94.com","USA","US","FRC","FRC","FIRST Robotics Competition",42.472345,-83.293971
95,"Hartford Area Career and Technology Center/Byrne Foundation/Hypertherm/SolidWorks&Hartford Area Career and Technology Center","Grasshoppers","White River Junction","VT","05001",2018,247,1997,"http://www.frcteam95.org/wp/","USA","US","FRC","FRC","FIRST Robotics Competition",43.66231,-72.359191
97,"Akamai Technologies/Draper Laboratories/Vecna Technologies, Inc & Cambridge Rindge and Latin","Bionic Beef","Cambridge","MA","02138",2018,247,1996,"http://www.crlsteam97.com","USA","US","FRC","FRC","FIRST Robotics Competition",42.377465,-71.131249
100,"Woodside High School Foundation/Sequoia Union High School District/Tate Family/Lawrence Searcy/Solutions2Projects/Intuitive Surgical/Nvidia/Woodcraft/Blach Construction Company/Jo Mar Labs/SolidWorks/Alan Steel and Supply Company&Woodside High","The WildHats","Woodside","CA","94062",2018,247,1995,"http://www.team100.org","USA","US","FRC","FRC","FIRST Robotics Competition",37.448337,-122.268736
101,"ClusterBlue /Friends of Striker&St Patrick High School","Striker","Chicago","IL","60634",2018,247,1997,"http://www.stpatrickrobotics.org/","USA","US","FRC","FRC","FIRST Robotics Competition",41.944287,-87.811483
102,"Janssen Pharmaceuticals Inc./Piccatinny Arsenal/Air Liquide/PSEG/Central Jersey Trailer and Hitch LLC/Alloy Welding Company, Inc./Gerber Metal Supply Company/Dr. Victor J. Bauer & Somerville High","The Gearheads","Somerville","NJ","08876",2018,247,1998,"http://www.team102.org","USA","US","FRC","FRC","FIRST Robotics Competition",40.54374,-74.66004
103,"Tohickon Glass & Tile/The Triagiano Foundation/Global Biocides Solutions LLC/Hubbell/Pleasant Valley Auto Care/Amplifier Research/Lutron Electronics, Inc/PHTool/Fred Beans Automotive/Stokes Manufacturing/Harro Hoflinger/Client Link&Palisades Hs","Cybersonics","Kintnersville","PA","18930",2018,247,1997,"http://www.cybersonics.org","USA","US","FRC","FRC","FIRST Robotics Competition",40.508214,-75.235473
107,"Metal Flow/Tommy's Express Car Wash/JR Automation/World Class Prototypes/Koops/Twisthink&Holland Christian High School","Team R.O.B.O.T.I.C.S.","Holland","MI","49423",2018,247,1997,"https://sites.google.com/site/firstrobotics107","USA","US","FRC","FRC","FIRST Robotics Competition",42.779463,-86.110617
108,"Motorola Solutions Foundation/Florida Power & Light/Broward County Public Schools/Apex Machine Company&Dillard High School","SigmaC@T Robotic Team","Fort Lauderdale","FL","33311",2018,247,1995,"www.sigmacats.org","USA","US","FRC","FRC","FIRST Robotics Competition",26.140547,-80.173789
111,"Motorola Solutions Foundation/Bosch/Methode Electronics/Bosch Rexroth/Township High School District 214/Numerical Precision, Inc./Nu-Way Industries/Lendrix/Magnetic Inspection Laboratory/Just Manufacturing/Automatic Precision & Elk Grove High School & Buffalo Grove High School & Rolling Meadows High School & Wheeling High School & Prospect High School & John Hersey High School","WildStang","Arlington Heights","IL","60005",2018,247,1996,"http://www.wildstang.org/","USA","US","FRC","FRC","FIRST Robotics Competition",42.065315,-87.983562
114,"Google/Nvidia/Apple/Intuitive Surgical/Applied Welding Technology/Advanced Component Technology/Los Altos High School&Los Altos High","Eagle Strike","Los Altos","CA","94022",2018,247,1997,"http://lahsrobotics.org/","USA","US","FRC","FRC","FIRST Robotics Competition",37.36656,-122.13696
115,"Fremont Union High School Foundation/Apple/Qualcomm/Intuitive Surgical/Brin-Wojcicki Foundation/Western Digital/Apprion, Inc/Lockheed Martin/EMC2/De Anza College Machine Shop/Pinnacle Manufacturing & Monta Vista High","MVRT","Cupertino","CA","95014",2018,247,1998,"http://www.mvrt.com","USA","US","FRC","FRC","FIRST Robotics Competition",37.314123,-122.044411
116,"NASA Headquarters/The PTR Group, Inc./Mach5&Herndon High","Epsilon Delta","Herndon","VA","20170",2018,247,1996,"http://www.team116.org/","USA","US","FRC","FRC","FIRST Robotics Competition",38.981236,-77.387257
117,"4moms/The Heinz Endowments /Google&Pittsburgh Allderdice Hs","The Steel Dragons","Pittsburgh","PA","15217",2018,247,1998,,"USA","US","FRC","FRC","FIRST Robotics Competition",40.428877,-79.923209
118,"NASA/NASA-JSC & Clear Creek H S","Robonauts","League City","TX","77573",2018,247,1997,"http://www.robonauts.org","USA","US","FRC","FRC","FIRST Robotics Competition",29.503872,-95.092521
120,"NASA/NASA Glenn Research Center/Cuyahoga Community College/GrafTech Corporation/Rockwell Automation & Youth Technology Academy","Cleveland's Team","Cleveland","OH","44115",2018,247,1995,,"USA","US","FRC","FRC","FIRST Robotics Competition",41.496936,-81.6742
121,"NDEP/Raytheon/Town of Middletown/Blowfish/Ferreira-Fenton Fund & Middletown High School","Rhode Warriors","Middletown","RI","02842",2018,247,1996,"http://www.rhodewarrior.org/","USA","US","FRC","FRC","FIRST Robotics Competition",41.516863,-71.286792
122,"NASA Langley Research Center/New Horizons Regional Education Center/TE Connectivity Foundation & New Horizons Regional Education Center","NASA Knights","Hampton","VA","23666",2018,247,1997,,"USA","US","FRC","FRC","FIRST Robotics Competition",37.049912,-76.412922
123,"General Motors Foundation/General Trucking/Ford Motor/Design Systems, Inc/Wayne Metro Community Action Agency /NuVue Foods/National Instruments/DADARA/State of Michigan&Hamtramck High School","Team - Cosmos","Hamtramck","MI","48212",2018,247,1997,,"USA","US","FRC","FRC","FIRST Robotics Competition",42.408353,-83.058329
125,"Northeastern University / Textron Systems / Sonos Inc. / United Technologies / National Grid / PTC / BAE Systems & Boston Latin & Brookline High & Revere High","NUTRONs","Boston","MA","02115",2018,247,1998,"http://www.nutrons.com","USA","US","FRC","FRC","FIRST Robotics Competition",42.341535,-71.094458
126,"Nypro Inc. a Jabil Company&Clinton Senior High","Gael Force","Clinton","MA","01510",2018,247,1992,"https://team126.wordpress.com/","USA","US","FRC","FRC","FIRST Robotics Competition",42.419337,-71.685094
128,"American Electric Power/Grandview Bobcat Boosters, Inc.&Grandview Heights High School","The Botcats","Grandview Heights","OH","43212",2018,247,1997,"http://www.GrandviewFIRST.com/","USA","US","FRC","FRC","FIRST Robotics Competition",39.98726,-83.043294
131,"BAE SYSTEMS/Rockwell Automation/Solid Works/CHAOS Families/Cronin Bisson & Zalinsky, Attorneys at Law/C.H.A.O.S Alumni/Queen City Rotary Club&Manchester Central High School&4-H Hillsborough County, NH","C.H.A.O.S.","Manchester","NH","03104",2018,247,1995,"http://www.chaos131.com","USA","US","FRC","FRC","FIRST Robotics Competition",43.003662,-71.446862
133,"ITS Inc./Lockheed Martin/Robotics Institute of Maine & Bonny Eagle High School","B.E.R.T.","Standish","ME","04084",2018,247,1997,"http://www.bert133.org","USA","US","FRC","FRC","FIRST Robotics Competition",43.744118,-70.411562
135,"Patrick Metals/PHM Educational Foundation Corporations For Education/IN Tek IN Kote/Regal Mold and Die/AM General&Penn High School","Penn Robotics","Mishawaka","IN","46545",2018,247,1998,"http://www.team135.org","USA","US","FRC","FRC","FIRST Robotics Competition",41.680563,-86.160151
136,"Plainfield Board of Education / Ivy Visions, Inc. & Plainfield High","Killer Kardinals","Plainfield","NJ","07060",2018,247,1997,,"USA","US","FRC","FRC","FIRST Robotics Competition",40.63134,-74.43702
138,"Monarch Instrument / Rockwell Automation / BAE Systems / SvenGrafik / Control Air / John Alberts Welding / Rapid Sheet Metal / Amherst Lions Club / County Stores / BB Mold & Souhegan Coop High School","Entropy","Amherst","NH","03031",2018,247,1996,"http://www.robotics138.org","USA","US","FRC","FRC","FIRST Robotics Competition",42.860306,-71.608545
141,"JR Automation Technologies, LLC/Holland Board of Public Works/Koop & Burr Insurance/Bradford Company/Engineered Automation Systems, Inc./Suntec Services/Rutherford & Associates/Egemin Automation/Tric Tool, Ltd.  & West Ottawa High School Campus","WOBOT","Holland","MI","49424",2018,247,1995,"http://team141.net/","USA","US","FRC","FRC","FIRST Robotics Competition",42.821709,-86.146908
144,"Clippard Instruments/HydroTech/P&G/The Kroger Company/Skyline Chili/JWF Technologies/Earl and Florence Simmons Foundation/Millennium Business Solutions/YAC Robotics/Cincinnati Test Systems/MSA, Architects/Northgate Greenhouses/Niemann Plumbing/Craftsman Electric/TP Mechanical &Butler Tech - Colerain High School&Butler Tech - Northwest High School","The R.O.C.K","Cincinnati","OH","45251",2018,247,1994,"http://www.frcteam144.org","USA","US","FRC","FRC","FIRST Robotics Competition",39.25523,-84.589734
145,"NY Tech Valley FIRST Sponsors/Follett Foundation/Greater Norwich Foundation/Otis Thompsen Foundation/Peptis Foundation/Anna Mabey Foundation/The Balloon Detail & Norwich High School & Sherburne-Earlville Senior High School","T-Rx","Norwich","NY","13815",2018,247,1997,"http://www.trx145.net/","USA","US","FRC","FRC","FIRST Robotics Competition",42.530787,-75.524876
148,"Innovation First International/L-3 Mission Integration/Texas Workforce Commission & GREENVILLE H S","Robowranglers","Greenville","TX","75402",2018,247,1992,"http://www.robowranglers148.com/","USA","US","FRC","FRC","FIRST Robotics Competition",33.071077,-96.085608
151,"MakeIt Labs/GHO Ventures/Parker Hannifin/Benchmark Electronics/BAE Systems/3rd Degree Safety Solutions/Northeast Delta Dental/Think For Fun/RBC Generational Wealth Management Group/Pat Clancy Realty LLC&Family/Community","Tough Techs","Nashua","NH","03062",2018,247,1992,"http://www.nashua151.org","USA","US","FRC","FRC","FIRST Robotics Competition",42.726609,-71.499556
155,"United Techologies Pratt & Whitney Division, East Hartford, CT & Berlin High School & Catherine M. Mcgee Middle School","The Technonuts","Berlin","CT","06037",2018,247,1994,"http://usfirst.berlinwall.org/","USA","US","FRC","FRC","FIRST Robotics Competition",41.60778,-72.7701
156,"General Electric Transportation/Gannon University&Fairview Hs","RPM  - Robotics Plus Mayhem ","Fairview","PA","16415",2018,247,1997,"http://www.rpm156.com/","USA","US","FRC","FRC","FIRST Robotics Competition",42.040104,-80.238339
157,"Boston Scientific/Avidia Bank/Raytheon/Entwistle&Assabet Valley Voc Hs","AZTECHS","Marlborough","MA","01752",2018,247,1995,"http://www.aztechs157.org","USA","US","FRC","FRC","FIRST Robotics Competition",42.349703,-71.546947
159,"Nordson/AMD/GST/Wolf Robotics/Hewlett Packard/Advanced Energy/Metal Distributors/DGCD/Exponential Engineering/Ft Collins Plastics/Gulley Greenhouse/PHS Alpine Robotics&Poudre High School","Alpine Robotics","Fort Collins","CO","80521",2018,247,1998,"http://www.alpinerobotics.com/","USA","US","FRC","FRC","FIRST Robotics Competition",40.584979,-105.114124
166,"The Bull Family/BAE Systems/PTC/Raytheon/AAVID THERMALLOY&Merrimack High School","Chop Shop","Merrimack","NH","03054",2018,247,1995,"http://www.chopshop166.com","USA","US","FRC","FRC","FIRST Robotics Competition",42.863038,-71.516973
167,"Rockwell Collins/Aero Antenna Technology & Iowa City High School & West Senior High School","Children of the Corn","Iowa City","IA","52246",2018,247,1998,"http://www.icrobotics.org","USA","US","FRC","FRC","FIRST Robotics Competition",41.654177,-91.560065
171,"John Deere/University of Wisconsin - Platteville & Platteville High","Cheese Curd Herd","Platteville","WI","53818",2018,247,1995,"http://www.team171.com","USA","US","FRC","FRC","FIRST Robotics Competition",42.747092,-90.496206
172,"Lanco Assembly Systems/Adobe/IDEXX Laboratories/Robotics Institute of Maine/P&G Tambrands Inc./Texas Instruments & Falmouth High School & Gorham High School","Northern Force","Gorham","ME","04038",2018,247,1996,"http://www.northernforce.org/wordpress","USA","US","FRC","FRC","FIRST Robotics Competition",43.698538,-70.456236
173,"United Technologies/Stanley/CNC Software/Eppendorf&Tolland High School&Ellington High School&Connecticut Ib Academy&East Hartford High School","RAGE Robotics","Tolland","CT","06084",2018,247,1995,"http://ragerobotics.com","USA","US","FRC","FRC","FIRST Robotics Competition",41.872855,-72.372213
174,"UTC Carrier/Lockheed Martin/Welch Allyn/SRC&Liverpool High School","Arctic Warriors","Liverpool","NY","13090",2018,247,1998,"http://www.snobot.org/","USA","US","FRC","FRC","FIRST Robotics Competition",43.149327,-76.223372
175,"United Technologies Aerospace Systems - Space Systems/PTC & Enfield High School","Buzz Robotics","Enfield","CT","06082",2018,247,1996,"http://buzzrobotics.org","USA","US","FRC","FRC","FIRST Robotics Competition",41.986942,-72.565275
176,"UTC Aerospace Systems&Windsor Locks High School&Suffield High School","Aces High","Windsor Locks","CT","06096",2018,247,1996,"http://www.aceshigh176.org","USA","US","FRC","FRC","FIRST Robotics Competition",41.925995,-72.643635
177,"United Technologies & South Windsor High School","Bobcat Robotics","South Windsor","CT","06074",2018,247,1995,"http://www.bobcatrobotics.org","USA","US","FRC","FRC","FIRST Robotics Competition",41.83488,-72.57132
178,"UTC Otis Elevator/Parker Hannifin Corp. Fluid Control Div./Sikorsky/ebm-papst Inc.&Farmington High School","The 2nd Law Enforcers","Farmington","CT","06032",2018,247,1997,"http://www.farmingtonrobotics.org","USA","US","FRC","FRC","FIRST Robotics Competition",41.725812,-72.835995
179,"Propp Family Foundation/Canon/EDF/Lockheed Martin/FP&L/Florida Turbine Technologies/Aerojet Rocketdyne/State of Florida&Inlet Grove Community High School&Suncoast Community High School","Children of the Swamp","West Palm Beach","FL","33404",2018,247,1998,"http://www.179swampthing.org","USA","US","FRC","FRC","FIRST Robotics Competition",26.779152,-80.073595
180,"Pratt & Whitney/Florida Power & Light/UL/ANJAC/Education Foundation of Martin County&South Fork High School&Clark Advanced Learning Center&Martin County High School&Jensen Beach High School","S.P.A.M.","Stuart","FL","34997",2018,247,1998,"http://www.spamrobotics.com","USA","US","FRC","FRC","FIRST Robotics Competition",27.138891,-80.214592
181,"United Technologies/Pratt & Whitney/Stanley Black & Decker&Hphs Academy of Engineering and Green Technology&Pathways to Technology Magnet School","Birds Of Prey","Hartford","CT","06106",2018,247,1998,"http://www.bop181.org","USA","US","FRC","FRC","FIRST Robotics Competition",41.74668,-72.696298
188,"Scotiabank/Sable Metal Fabrication Inc./Toronto District School Board&Woburn Collegiate Institute","Blizzard","Toronto","ON","M1G 3M3",2018,247,1998,"http://www.team188.com","Canada","CA","FRC","FRC","FIRST Robotics Competition",43.777659,-79.226634
190,"WPI&Ma Academy for Math and Science School","Gompei and the H.E.R.D.","Worcester","MA","01609",2018,247,1992,"http://users.wpi.edu/~first/","USA","US","FRC","FRC","FIRST Robotics Competition",42.276415,-71.819491
191,"Xerox Corporation/Sikorsky · Lockheed Martin&Joseph C Wilson Magnet High School&Joseph C Wilson Foundation Academy","X-CATS","Rochester","NY","14605",2018,247,1992,"http://www.x-cats.org","USA","US","FRC","FRC","FIRST Robotics Competition",43.165247,-77.600096
