"event_name","event_name_analyzed","event_code","fk_program_seasons","event_subtype","event_subtype_moniker","event_type","event_venue","event_venue_sort","event_venue_analyzed","event_stateprov","event_country","event_city","event_address1","event_address2","date_end","date_start","event_postalcode","event_season","capacity_total","event_web_url","flag_bag_and_tag_event","program_code_display","program_name","flag_display_in_vims","ff_event_type_sort_order","countryCode","open_capacity","event_fee_currency","hotel_document","id","lat","lon","event_venue_room","event_fee_base","community_event_contact_name_first","community_event_contact_name_last","community_event_contact_email"
"Arkansas Rock City Regional","Arkansas Rock City Regional","ARLI",247,"Regional","Regional","FRC","Arkansas State Fairgrounds - Barton Coliseum","Arkansas State Fairgrounds - Barton Coliseum","Arkansas State Fairgrounds - Barton Coliseum","AR","USA","Little Rock","Barton Coliseum","2600 Howard Street","2018-03-10T00:00:00","2018-03-07T00:00:00","72206",2018,60,"http://arfirst.org",true,"FRC","FIRST Robotics Competition",false,3,"US",60,"USD","http://www.usfirst.org/roboticsprograms/frc/travel-discounts",28101,34.681307,-92.27776,,,,,
"Bayou Regional","Bayou Regional","LAKE",247,"Regional","Regional","FRC","Pontchartrain Center","Pontchartrain Center","Pontchartrain Center","LA","USA","Kenner","Pontchartrain Center ","4545 Williams Blvd","2018-03-24T00:00:00","2018-03-21T00:00:00","70065",2018,60,"http://www.frcbayouregional.org",true,"FRC","FIRST Robotics Competition",false,3,"US",60,"USD","http://www.usfirst.org/roboticsprograms/frc/travel-discounts",27863,30.024262,-90.249125,"",0,"","",""
"FIRST Championship - Detroit","FIRST Championship - Detroit","CMPMI",247,"Championship","FIRST Championship","FRC","Cobo Center","Cobo Center","Cobo Center","MI","USA","Detroit","1 Washington Boulevard",,"2018-04-28T00:00:00","2018-04-25T00:00:00","48226",2018,400,,false,"FRC","FIRST Robotics Competition",false,2,"US",400,"USD","http://www.usfirst.org/roboticsprograms/frc/travel-discounts",32149,42.332339,-83.051131,,,,,
"FIRST Championship - Houston","FIRST Championship - Houston","CMPTX",247,"Championship","FIRST Championship","FRC","George R. Brown Convention Center","George R. Brown Convention Center","George R. Brown Convention Center","TX","USA","Houston","1001 Avenida De Las Americas",,"2018-04-21T00:00:00","2018-04-18T00:00:00","77010",2018,400,,false,"FRC","FIRST Robotics Competition",false,2,"US",400,"USD","http://www.usfirst.org/roboticsprograms/frc/travel-discounts",28089,29.754759,-95.361326,,0,"","",
"FIRST Mid-Atlantic District Championship","FIRST Mid-Atlantic District Championship","MRCMP",247,"Qualifying Championship","District Championship","FRC","Lehigh University - Stabler Arena","Lehigh University - Stabler Arena","Lehigh University - Stabler Arena","PA","USA","Bethlehem","124 Goodman Drive",,"2018-04-07T00:00:00","2018-04-04T00:00:00","18015",2018,60,"http://www.midatlanticrobotics.com/",true,"FRC","FIRST Robotics Competition",false,100,"US",60,"USD","http://www.usfirst.org/roboticsprograms/frc/travel-discounts",27917,40.601395,-75.369112,"",0,"","",
"Iowa Regional","Iowa Regional","IACF",247,"Regional","Regional","FRC","McLeod Center/UNI Dome","McLeod Center/UNI Dome","McLeod Center/UNI Dome","IA","USA","Cedar Falls","2501 Hudson Road",,"2018-03-24T00:00:00","2018-03-21T00:00:00","50614",2018,63,"http://iafirst.org/",true,"FRC","FIRST Robotics Competition",false,3,"US",63,"USD","http://www.usfirst.org/roboticsprograms/frc/travel-discounts",28045,42.509279,-92.460752,,,"","",
"Lake Superior Regional","Lake Superior Regional","MNDU",247,"Regional","Regional","FRC","DECC Arena/South Pioneer Hall","DECC Arena/South Pioneer Hall","DECC Arena/South Pioneer Hall","MN","USA","Duluth","Duluth Entertainment Convention Center","350 Harbor Drive","2018-03-10T00:00:00","2018-03-07T00:00:00","55802",2018,63,"http://www.mnfirst.org",true,"FRC","FIRST Robotics Competition",false,3,"US",63,"USD","http://www.usfirst.org/roboticsprograms/frc/travel-discounts",27955,46.767393,-92.11547,"",0,"","","lfshimizu@gmail.com"
"MAR District - Bridgewater-Raritan Event","MAR District - Bridgewater-Raritan Event","NJBRI",247,"Qualifying Event","District Event","FRC","Bridgewater-Raritan High School","Bridgewater-Raritan High School","Bridgewater-Raritan High School","NJ","USA","Bridgewater","600 Garretson Road",,"2018-03-18T00:00:00","2018-03-16T00:00:00","08807",2018,38,"http://www.midatlanticrobotics.com/",true,"FRC","FIRST Robotics Competition",false,200,"US",38,"USD","http://www.usfirst.org/roboticsprograms/frc/travel-discounts",27977,40.593164,-74.619513,"",0,"","",
"MAR District - Hatboro-Horsham Event","MAR District - Hatboro-Horsham Event","PAHAT",247,"Qualifying Event","District Event","FRC","Hatboro-Horsham High School","Hatboro-Horsham High School","Hatboro-Horsham High School","PA","USA","Horsham","899 Horsham Road",,"2018-03-04T00:00:00","2018-03-02T00:00:00","19044",2018,38,"http://www.midatlanticrobotics.com/",true,"FRC","FIRST Robotics Competition",false,200,"US",38,"USD","http://www.usfirst.org/roboticsprograms/frc/travel-discounts",27975,40.182463,-75.150115,"",0,"","",
"MAR District - Montgomery Event","MAR District - Montgomery Event","NJSKI",247,"Qualifying Event","District Event","FRC","Montgomery Township High School","Montgomery Township High School","Montgomery Township High School","NJ","USA","Skillman","1016 Route 601",,"2018-03-25T00:00:00","2018-03-23T00:00:00","08558",2018,38,"http://www.midatlanticrobotics.com/",true,"FRC","FIRST Robotics Competition",false,200,"US",38,"USD","http://www.usfirst.org/roboticsprograms/frc/travel-discounts",27855,40.416194,-74.695442,"",0,"","",
